state,year,quarter,transaction_type,quarterly_total,quarterly_volume,avg_transaction_value,previous_period_amount,qoq_growth_rate
Nagaland,2021,3,TOTAL,15949667392.02,5427168,2938.86,12625175855.127474,26.33
Meghalaya,2021,3,TOTAL,11076001806.11,4390924,2522.48,8774469019.562397,26.23
Tripura,2021,3,TOTAL,17456535072.73,8324800,2096.93,13872617444.145094,25.83
Punjab,2021,3,TOTAL,343970243362.45,170133956,2021.76,278124234250.46075,23.68
Odisha,2021,3,TOTAL,1215122875732.17,709450696,1712.77,983456469909.0975,23.56
Sikkim,2021,3,TOTAL,11957347455.23,4642376,2575.7,9699598318.701197,23.28
Uttarakhand,2021,3,TOTAL,202109987134.26,124169136,1627.7,163963271499.3529,23.27
Haryana,2021,3,TOTAL,963308369036.84,561838772,1714.56,801429416954.7362,20.2
Madhya Pradesh,2021,3,TOTAL,2017650415406.15,1245773336,1619.6,1702003072142.4993,18.55
Jharkhand,2021,3,TOTAL,487564060475.41,283182808,1721.73,417730573245.83185,16.72
Andhra Pradesh,2021,3,TOTAL,3936872142256.47,1728130200,2278.11,3402949996432.981,15.69
Uttar Pradesh,2021,3,TOTAL,2228323365119.74,1226173536,1817.3,1928689956665.5452,15.54
Telangana,2021,3,TOTAL,4713156505169.01,2491547072,1891.66,4111833331190.3354,14.62
Bihar,2021,3,TOTAL,1588251043825.65,750684452,2115.74,1498321020746.3157,6.0
Ladakh,2021,2,TOTAL,5709036381.88,1598864,3570.68,3933679252.987517,45.13
Bihar,2021,2,TOTAL,1498321020746.32,622414488,2407.27,1123894598804.9124,33.32
Jammu & Kashmir,2021,2,TOTAL,91255021714.37,40111276,2275.05,68553399572.60692,33.12
Telangana,2021,2,TOTAL,4111833331190.34,1983470176,2073.05,3197437056186.3584,28.6
Andhra Pradesh,2021,2,TOTAL,3402949996432.98,1411068536,2411.61,2689778680706.465,26.51
Jharkhand,2021,2,TOTAL,417730573245.83,216008580,1933.86,334997412492.55835,24.7
Madhya Pradesh,2021,2,TOTAL,1702003072142.5,893258720,1905.39,1374135817529.154,23.86
Uttar Pradesh,2021,2,TOTAL,1928689956665.55,967796524,1992.87,1585150350310.2642,21.67
Maharashtra,2021,2,TOTAL,3660460222494.81,2294465944,1595.34,3079549408613.0005,18.86
Haryana,2021,2,TOTAL,801429416954.74,422723424,1895.87,675753204329.7135,18.6
Punjab,2021,2,TOTAL,278124234250.46,128684992,2161.28,234763548364.4268,18.47
Arunachal Pradesh,2021,2,TOTAL,17825702467.98,6273352,2841.5,15255116316.066576,16.85
Himachal Pradesh,2021,2,TOTAL,65982538159.24,37935608,1739.33,56482187637.95011,16.82
Assam,2021,2,TOTAL,236769893506.66,101731620,2327.4,205305858184.4895,15.33
Odisha,2021,2,TOTAL,983456469909.1,527297348,1865.09,853590944753.3634,15.21
West Bengal,2021,2,TOTAL,1117739244234.26,567589748,1969.27,971748829902.0878,15.02
Andaman & Nicobar Islands,2021,2,TOTAL,3596588064.45,1365656,2633.6,3134826269.5590224,14.73
Gujarat,2021,2,TOTAL,840648218208.47,447365584,1879.11,734803122853.8015,14.4
Rajasthan,2021,2,TOTAL,2246811060676.98,1149908156,1953.9,1965970326630.5815,14.29
Chhattisgarh,2021,2,TOTAL,314915085036.9,178757680,1761.69,277639373046.20624,13.43
Uttarakhand,2021,2,TOTAL,163963271499.35,96001728,1707.92,145152757599.5937,12.96
Manipur,2021,2,TOTAL,31559311849.59,12345100,2556.42,28281150057.916973,11.59
