state,year,quarter,transaction_type,quarterly_total,quarterly_volume,avg_transaction_value,previous_period_amount,qoq_growth_rate
Rajasthan,2020,2,TOTAL,775053092013.06,407818624,1900.48,761232954244.0322,1.82
Sikkim,2020,2,TOTAL,4218475153.05,2070924,2037.0,4213905087.7776084,0.11
Odisha,2020,2,TOTAL,366932146448.39,200114304,1833.61,367827192797.3326,-0.24
Uttarakhand,2020,2,TOTAL,64376750808.4,36191080,1778.8,64632321035.950294,-0.4
Haryana,2020,2,TOTAL,322845059695.76,167124200,1931.77,327904858232.97626,-1.54
Chhattisgarh,2020,2,TOTAL,129073528827.61,75283700,1714.5,131442390685.42493,-1.8
Kerala,2020,2,TOTAL,103576313914.4,65151868,1589.77,105804339323.73701,-2.11
Dadra & Nagar Haveli & Daman & Diu,2020,2,TOTAL,5209505815.55,3892608,1338.31,5371053477.170072,-3.01
Punjab,2020,2,TOTAL,121138617008.85,56325176,2150.7,125496741063.59866,-3.47
Assam,2020,2,TOTAL,79065200503.68,42020796,1881.57,82673713390.91698,-4.36
Maharashtra,2020,2,TOTAL,1185438068637.66,739163044,1603.76,1279980786872.382,-7.39
Gujarat,2020,2,TOTAL,321551385437.96,189680740,1695.22,347980306487.6125,-7.59
Karnataka,2020,2,TOTAL,1284419508080.55,852886848,1505.97,1413608219997.5913,-9.14
Puducherry,2020,2,TOTAL,7840123921.95,4133532,1896.71,8821109908.318333,-11.12
Telangana,2020,2,TOTAL,1286127357409.72,608220572,2114.57,1485375121472.8645,-13.41
Tamil Nadu,2020,2,TOTAL,383306035587.31,207480440,1847.43,466278744717.76154,-17.79
Delhi,2020,2,TOTAL,431493752813.32,264168072,1633.41,534466174570.3603,-19.27
Chandigarh,2020,2,TOTAL,15388062918.76,6112040,2517.66,20505812280.0648,-24.96
Goa,2020,2,TOTAL,8734465720.07,5928368,1473.33,13641484927.695051,-35.97
Andaman & Nicobar Islands,2020,1,TOTAL,645905249.19,165192,3910.03,,
Andhra Pradesh,2020,1,TOTAL,1010948857156.25,510709428,1979.5,,
Arunachal Pradesh,2020,1,TOTAL,5527034725.32,2268700,2436.21,,
Assam,2020,1,TOTAL,82673713390.92,35235440,2346.32,,
Bihar,2020,1,TOTAL,437027414108.98,180327260,2423.52,,
Chandigarh,2020,1,TOTAL,20505812280.06,9050044,2265.82,,
Chhattisgarh,2020,1,TOTAL,131442390685.42,78095964,1683.09,,
Dadra & Nagar Haveli & Daman & Diu,2020,1,TOTAL,5371053477.17,3514316,1528.34,,
Delhi,2020,1,TOTAL,534466174570.36,326990416,1634.5,,
Goa,2020,1,TOTAL,13641484927.7,7524948,1812.83,,
Gujarat,2020,1,TOTAL,347980306487.61,189305668,1838.19,,
Haryana,2020,1,TOTAL,327904858232.98,176144348,1861.57,,
Himachal Pradesh,2020,1,TOTAL,29677867004.49,16577920,1790.2,,
Jammu & Kashmir,2020,1,TOTAL,11750572706.14,3686520,3187.44,,
Jharkhand,2020,1,TOTAL,134444928613.08,73130852,1838.42,,
Karnataka,2020,1,TOTAL,1413608219997.59,1084135560,1303.9,,
Kerala,2020,1,TOTAL,105804339323.74,62934088,1681.19,,
Ladakh,2020,1,TOTAL,1510558709.78,465676,3243.8,,
Lakshadweep,2020,1,TOTAL,54009474.3,20604,2621.31,,
Madhya Pradesh,2020,1,TOTAL,506949125744.78,317466984,1596.86,,
Maharashtra,2020,1,TOTAL,1279980786872.38,955776324,1339.21,,
Manipur,2020,1,TOTAL,10394361523.51,3275204,3173.65,,
Meghalaya,2020,1,TOTAL,4480539363.63,2009132,2230.09,,
Mizoram,2020,1,TOTAL,1568310317.4,614436,2552.44,,
Nagaland,2020,1,TOTAL,3579120114.94,1512204,2366.82,,
Odisha,2020,1,TOTAL,367827192797.33,214729228,1712.98,,
Puducherry,2020,1,TOTAL,8821109908.32,4831684,1825.68,,
Punjab,2020,1,TOTAL,125496741063.6,60871136,2061.68,,
Rajasthan,2020,1,TOTAL,761232954244.03,409035248,1861.04,,
Sikkim,2020,1,TOTAL,4213905087.78,2112472,1994.77,,
Tamil Nadu,2020,1,TOTAL,466278744717.76,267813892,1741.06,,
Telangana,2020,1,TOTAL,1485375121472.86,797638100,1862.22,,
Tripura,2020,1,TOTAL,6355115225.55,3698008,1718.52,,
Uttar Pradesh,2020,1,TOTAL,689665739842.79,388956528,1773.12,,
Uttarakhand,2020,1,TOTAL,64632321035.95,36527136,1769.43,,
West Bengal,2020,1,TOTAL,386613220763.75,265001524,1458.91,,
