state,year,quarter,insurance_type,quarterly_policies,quarterly_premium,avg_premium_per_policy,prev_quarter_policies,qoq_growth_rate
Andaman & Nicobar Islands,2022,3,TOTAL,643,902466.0,1403.52,501.0,28.34
Andhra Pradesh,2022,3,TOTAL,39301,48791931.0,1241.49,32185.0,22.11
Arunachal Pradesh,2022,3,TOTAL,510,1300304.0,2549.62,564.0,-9.57
Assam,2022,3,TOTAL,14149,22543564.0,1593.3,9228.0,53.33
Bihar,2022,3,TOTAL,28511,34704251.0,1217.22,21892.0,30.23
Chandigarh,2022,3,TOTAL,1533,1998439.0,1303.61,1330.0,15.26
Chhattisgarh,2022,3,TOTAL,8849,12119470.0,1369.59,7008.0,26.27
Dadra & Nagar Haveli & Daman & Diu,2022,3,TOTAL,707,983776.0,1391.48,438.0,61.42
Delhi,2022,3,TOTAL,35944,41570160.0,1156.53,26378.0,36.27
Goa,2022,3,TOTAL,3157,4142108.0,1312.04,3524.0,-10.41
Gujarat,2022,3,TOTAL,31302,37557227.0,1199.83,25381.0,23.33
Haryana,2022,3,TOTAL,35346,45402800.0,1284.52,25352.0,39.42
Himachal Pradesh,2022,3,TOTAL,3641,6161692.0,1692.31,2831.0,28.61
Jammu & Kashmir,2022,3,TOTAL,4794,8281826.0,1727.54,4071.0,17.76
Jharkhand,2022,3,TOTAL,14388,18156857.0,1261.94,9477.0,51.82
Karnataka,2022,3,TOTAL,110273,144605784.0,1311.34,93385.0,18.08
Kerala,2022,3,TOTAL,54587,85390924.0,1564.31,35667.0,53.05
Ladakh,2022,3,TOTAL,137,369742.0,2698.85,113.0,21.24
Lakshadweep,2022,3,TOTAL,38,41504.0,1092.21,18.0,111.11
Madhya Pradesh,2022,3,TOTAL,22733,29185118.0,1283.82,14629.0,55.4
Maharashtra,2022,3,TOTAL,90958,113835208.0,1251.51,80935.0,12.38
Manipur,2022,3,TOTAL,200,403213.0,2016.07,218.0,-8.26
Meghalaya,2022,3,TOTAL,600,1039491.0,1732.48,379.0,58.31
Mizoram,2022,3,TOTAL,310,471306.0,1520.34,76.0,307.89
Nagaland,2022,3,TOTAL,210,439669.0,2093.66,186.0,12.9
Odisha,2022,3,TOTAL,18898,23308531.0,1233.39,12371.0,52.76
Puducherry,2022,3,TOTAL,1585,2025529.0,1277.94,1156.0,37.11
Punjab,2022,3,TOTAL,12370,19381895.0,1566.85,9175.0,34.82
Rajasthan,2022,3,TOTAL,33975,45565544.0,1341.15,24333.0,39.63
Sikkim,2022,3,TOTAL,243,474940.0,1954.49,160.0,51.88
Tamil Nadu,2022,3,TOTAL,64356,79747520.0,1239.16,46714.0,37.77
Telangana,2022,3,TOTAL,51465,64798126.0,1259.07,45600.0,12.86
Tripura,2022,3,TOTAL,1590,2105984.0,1324.52,1021.0,55.73
Uttar Pradesh,2022,3,TOTAL,64514,87703512.0,1359.45,55133.0,17.02
Uttarakhand,2022,3,TOTAL,6784,10070172.0,1484.4,5773.0,17.51
West Bengal,2022,3,TOTAL,47853,59092307.0,1234.87,33542.0,42.67
Andaman & Nicobar Islands,2022,2,TOTAL,501,779740.0,1556.37,768.0,-34.77
Andhra Pradesh,2022,2,TOTAL,32185,41708072.0,1295.89,29954.0,7.45
Arunachal Pradesh,2022,2,TOTAL,564,1360231.0,2411.76,355.0,58.87
Assam,2022,2,TOTAL,9228,15357811.0,1664.26,16230.0,-43.14
Bihar,2022,2,TOTAL,21892,28212833.0,1288.73,20253.0,8.09
Chandigarh,2022,2,TOTAL,1330,1874959.0,1409.74,792.0,67.93
Chhattisgarh,2022,2,TOTAL,7008,10119964.0,1444.06,6612.0,5.99
Dadra & Nagar Haveli & Daman & Diu,2022,2,TOTAL,438,686857.0,1568.17,493.0,-11.16
Delhi,2022,2,TOTAL,26378,31787281.0,1205.07,28232.0,-6.57
Goa,2022,2,TOTAL,3524,5093510.0,1445.38,2634.0,33.79
Gujarat,2022,2,TOTAL,25381,32090965.0,1264.37,22221.0,14.22
Haryana,2022,2,TOTAL,25352,33759068.0,1331.61,22783.0,11.28
Himachal Pradesh,2022,2,TOTAL,2831,5371078.0,1897.24,2768.0,2.28
Jammu & Kashmir,2022,2,TOTAL,4071,7729792.0,1898.75,3584.0,13.59
Jharkhand,2022,2,TOTAL,9477,13464840.0,1420.79,9373.0,1.11
Karnataka,2022,2,TOTAL,93385,123228632.0,1319.58,95640.0,-2.36
Kerala,2022,2,TOTAL,35667,59920203.0,1679.99,37110.0,-3.89
Ladakh,2022,2,TOTAL,113,269446.0,2384.48,75.0,50.67
Lakshadweep,2022,2,TOTAL,18,27463.0,1525.72,27.0,-33.33
Madhya Pradesh,2022,2,TOTAL,14629,20159098.0,1378.02,13791.0,6.08
Maharashtra,2022,2,TOTAL,80935,104603934.0,1292.44,88015.0,-8.04
Manipur,2022,2,TOTAL,218,553649.0,2539.67,177.0,23.16
Meghalaya,2022,2,TOTAL,379,789094.0,2082.04,337.0,12.46
Mizoram,2022,2,TOTAL,76,115090.0,1514.34,85.0,-10.59
Nagaland,2022,2,TOTAL,186,380878.0,2047.73,242.0,-23.14
