state,device,total_users,engagement_share_pct,efficiency_classification,device_rank
Gujarat,Xiaomi,15371064,0.15,EXCELLENT_LEADER (>5M),11
Odisha,Xiaomi,12953756,0.13,EXCELLENT_LEADER (>5M),12
Delhi,Xiaomi,12621056,0.12,EXCELLENT_LEADER (>5M),13
Haryana,Xiaomi,11351916,0.11,EXCELLENT_LEADER (>5M),14
Kerala,Xiaomi,8393480,0.08,EXCELLENT_LEADER (>5M),15
Jharkhand,Xiaomi,7478624,0.07,EXCELLENT_LEADER (>5M),16
Punjab,Xiaomi,6479704,0.06,EXCELLENT_LEADER (>5M),17
Chhattisgarh,Xiaomi,5205548,0.05,EXCELLENT_LEADER (>5M),18
Assam,Xiaomi,4379316,0.04,STRONG_PERFORMER (1-5M),19
Uttarakhand,Xiaomi,3231212,0.03,STRONG_PERFORMER (1-5M),20
Himachal Pradesh,Xiaomi,2461676,0.02,STRONG_PERFORMER (1-5M),21
Jammu & Kashmir,Xiaomi,2142748,0.02,STRONG_PERFORMER (1-5M),22
Manipur,Xiaomi,773492,0.01,MODERATE_GROWTH (100K-1M),23
Goa,Xiaomi,725064,0.01,MODERATE_GROWTH (100K-1M),24
Tripura,Xiaomi,574396,0.01,MODERATE_GROWTH (100K-1M),25
Chandigarh,Xiaomi,472308,0.0,MODERATE_GROWTH (100K-1M),26
Puducherry,Xiaomi,400324,0.0,MODERATE_GROWTH (100K-1M),27
Dadra & Nagar Haveli & Daman & Diu,Xiaomi,357784,0.0,MODERATE_GROWTH (100K-1M),28
Nagaland,Xiaomi,346000,0.0,MODERATE_GROWTH (100K-1M),29
Arunachal Pradesh,Xiaomi,303708,0.0,MODERATE_GROWTH (100K-1M),30
Meghalaya,Xiaomi,241692,0.0,MODERATE_GROWTH (100K-1M),31
Sikkim,Xiaomi,167464,0.0,MODERATE_GROWTH (100K-1M),32
Mizoram,Xiaomi,142716,0.0,MODERATE_GROWTH (100K-1M),33
Ladakh,Xiaomi,97840,0.0,EMERGING_MARKET (<100K),34
Andaman & Nicobar Islands,Xiaomi,71828,0.0,EMERGING_MARKET (<100K),35
Lakshadweep,Xiaomi,4812,0.0,EMERGING_MARKET (<100K),36
