state,year,quarter,registered_users,prev_quarter_users,qoq_user_growth_pct
Chhattisgarh,2021,4,87360,1175329.0,-92.57
Dadra & Nagar Haveli & Daman & Diu,2021,4,7542,82367.0,-90.84
Delhi,2021,4,705541,2897206.0,-75.65
Goa,2021,4,33398,163235.0,-79.54
Gujarat,2021,4,635160,3544088.0,-82.08
Haryana,2021,4,529430,2638176.0,-79.93
Himachal Pradesh,2021,4,50504,549749.0,-90.81
Jammu & Kashmir,2021,4,44648,478671.0,-90.67
Jharkhand,2021,4,77092,1700564.0,-95.47
Karnataka,2021,4,1120969,6973776.0,-83.93
Kerala,2021,4,507548,1859763.0,-72.71
Ladakh,2021,4,2358,22384.0,-89.47
Lakshadweep,2021,4,151,1046.0,-85.56
Madhya Pradesh,2021,4,293413,4290362.0,-93.16
Maharashtra,2021,4,1382079,10369008.0,-86.67
Manipur,2021,4,9391,171051.0,-94.51
Meghalaya,2021,4,4556,52800.0,-91.37
Mizoram,2021,4,3532,31196.0,-88.68
Nagaland,2021,4,5329,75533.0,-92.94
Odisha,2021,4,140106,2958185.0,-95.26
Puducherry,2021,4,15236,89382.0,-82.95
Punjab,2021,4,497157,1468863.0,-66.15
Rajasthan,2021,4,462924,4289230.0,-89.21
Sikkim,2021,4,6458,37473.0,-82.77
Tamil Nadu,2021,4,575168,4464525.0,-87.12
Telangana,2021,4,856106,5040723.0,-83.02
Tripura,2021,4,7552,126117.0,-94.01
Uttar Pradesh,2021,4,710181,8522940.0,-91.67
Uttarakhand,2021,4,94375,729762.0,-87.07
West Bengal,2021,4,287059,4999610.0,-94.26
Andaman & Nicobar Islands,2021,3,1283,14788.0,-91.32
Andhra Pradesh,2021,3,480993,4937684.0,-90.26
Arunachal Pradesh,2021,3,5574,61629.0,-90.96
Assam,2021,3,45531,909274.0,-94.99
Bihar,2021,3,222180,4268361.0,-94.79
Chandigarh,2021,3,37880,101761.0,-62.78
Chhattisgarh,2021,3,75098,1101581.0,-93.18
Dadra & Nagar Haveli & Daman & Diu,2021,3,6802,77605.0,-91.24
Delhi,2021,3,631640,2731995.0,-76.88
Goa,2021,3,29989,152107.0,-80.28
Gujarat,2021,3,569577,3362430.0,-83.06
Haryana,2021,3,467144,2505880.0,-81.36
Himachal Pradesh,2021,3,44803,513196.0,-91.27
Jammu & Kashmir,2021,3,38603,446949.0,-91.36
Jharkhand,2021,3,65816,1595475.0,-95.87
