year,quarter,level,region,category,type,count,amount
2023,4,state,Assam,Insurance,TOTAL,23168,38731734.0
2024,1,state,Assam,Insurance,TOTAL,33097,48107248.0
2024,2,state,Assam,Insurance,TOTAL,22368,34796603.0
2024,3,state,Assam,Insurance,TOTAL,17633,31388971.0
2024,4,state,Assam,Insurance,TOTAL,21805,35336229.0
2020,2,state,Bihar,Insurance,TOTAL,2816,595621.0
2020,3,state,Bihar,Insurance,TOTAL,9733,2161102.0
2020,4,state,Bihar,Insurance,TOTAL,9913,7860932.0
2021,1,state,Bihar,Insurance,TOTAL,12554,8796619.0
2021,2,state,Bihar,Insurance,TOTAL,14301,13301581.0
2021,3,state,Bihar,Insurance,TOTAL,18030,18234941.0
2021,4,state,Bihar,Insurance,TOTAL,22456,27313813.0
2022,1,state,Bihar,Insurance,TOTAL,20253,27755736.0
2022,2,state,Bihar,Insurance,TOTAL,21892,28212833.0
2022,3,state,Bihar,Insurance,TOTAL,28511,34704251.0
2022,4,state,Bihar,Insurance,TOTAL,33895,43914519.0
2023,1,state,Bihar,Insurance,TOTAL,26929,38746711.0
2023,2,state,Bihar,Insurance,TOTAL,29212,40354886.0
2023,3,state,Bihar,Insurance,TOTAL,36550,45832355.0
2023,4,state,Bihar,Insurance,TOTAL,41447,57624322.0
2024,1,state,Bihar,Insurance,TOTAL,51592,63844442.0
2024,2,state,Bihar,Insurance,TOTAL,49101,65285065.0
2024,3,state,Bihar,Insurance,TOTAL,44745,62777286.0
2024,4,state,Bihar,Insurance,TOTAL,62662,83739800.0
2020,2,state,Chandigarh,Insurance,TOTAL,149,29537.0
2020,3,state,Chandigarh,Insurance,TOTAL,264,70969.0
2020,4,state,Chandigarh,Insurance,TOTAL,200,153341.0
2021,1,state,Chandigarh,Insurance,TOTAL,338,238576.0
2021,2,state,Chandigarh,Insurance,TOTAL,378,310943.0
2021,3,state,Chandigarh,Insurance,TOTAL,494,469634.0
2021,4,state,Chandigarh,Insurance,TOTAL,710,835813.0
2022,1,state,Chandigarh,Insurance,TOTAL,792,1150932.0
2022,2,state,Chandigarh,Insurance,TOTAL,1330,1874959.0
2022,3,state,Chandigarh,Insurance,TOTAL,1533,1998439.0
2022,4,state,Chandigarh,Insurance,TOTAL,1403,2024528.0
2023,1,state,Chandigarh,Insurance,TOTAL,1520,2415574.0
2023,2,state,Chandigarh,Insurance,TOTAL,1704,2501107.0
2023,3,state,Chandigarh,Insurance,TOTAL,1883,2660630.0
2023,4,state,Chandigarh,Insurance,TOTAL,1767,3053934.0
2024,1,state,Chandigarh,Insurance,TOTAL,1730,3143984.0
2024,2,state,Chandigarh,Insurance,TOTAL,1798,3177315.0
2024,3,state,Chandigarh,Insurance,TOTAL,1991,3445738.0
2024,4,state,Chandigarh,Insurance,TOTAL,2095,3729932.0
2020,2,state,Chhattisgarh,Insurance,TOTAL,1346,279005.0
2020,3,state,Chhattisgarh,Insurance,TOTAL,4702,1393656.0
2020,4,state,Chhattisgarh,Insurance,TOTAL,3757,2249901.0
2021,1,state,Chhattisgarh,Insurance,TOTAL,4712,2620468.0
2021,2,state,Chhattisgarh,Insurance,TOTAL,5055,3813417.0
2021,3,state,Chhattisgarh,Insurance,TOTAL,4676,3568837.0
2021,4,state,Chhattisgarh,Insurance,TOTAL,6029,8229039.0
2022,1,state,Chhattisgarh,Insurance,TOTAL,6612,10139190.0
2022,2,state,Chhattisgarh,Insurance,TOTAL,7008,10119964.0
2022,3,state,Chhattisgarh,Insurance,TOTAL,8849,12119470.0
2022,4,state,Chhattisgarh,Insurance,TOTAL,11994,18137856.0
2023,1,state,Chhattisgarh,Insurance,TOTAL,10460,16577191.0
2023,2,state,Chhattisgarh,Insurance,TOTAL,10514,16389610.0
2023,3,state,Chhattisgarh,Insurance,TOTAL,11927,17838382.0
2023,4,state,Chhattisgarh,Insurance,TOTAL,17300,29704673.0
2024,1,state,Chhattisgarh,Insurance,TOTAL,19579,30083259.0
2024,2,state,Chhattisgarh,Insurance,TOTAL,15724,25935743.0
2024,3,state,Chhattisgarh,Insurance,TOTAL,16550,27724060.0
2024,4,state,Chhattisgarh,Insurance,TOTAL,22723,37421165.0
2020,2,state,Dadra & Nagar Haveli & Daman & Diu,Insurance,TOTAL,651,101029.0
2020,3,state,Dadra & Nagar Haveli & Daman & Diu,Insurance,TOTAL,257,65504.0
2020,4,state,Dadra & Nagar Haveli & Daman & Diu,Insurance,TOTAL,232,149513.0
2021,1,state,Dadra & Nagar Haveli & Daman & Diu,Insurance,TOTAL,467,285691.0
2021,2,state,Dadra & Nagar Haveli & Daman & Diu,Insurance,TOTAL,368,275638.0
2021,3,state,Dadra & Nagar Haveli & Daman & Diu,Insurance,TOTAL,360,273596.0
2021,4,state,Dadra & Nagar Haveli & Daman & Diu,Insurance,TOTAL,421,425384.0
2022,1,state,Dadra & Nagar Haveli & Daman & Diu,Insurance,TOTAL,493,720741.0
2022,2,state,Dadra & Nagar Haveli & Daman & Diu,Insurance,TOTAL,438,686857.0
2022,3,state,Dadra & Nagar Haveli & Daman & Diu,Insurance,TOTAL,707,983776.0
2022,4,state,Dadra & Nagar Haveli & Daman & Diu,Insurance,TOTAL,871,1272628.0
2023,1,state,Dadra & Nagar Haveli & Daman & Diu,Insurance,TOTAL,799,1215168.0
2023,2,state,Dadra & Nagar Haveli & Daman & Diu,Insurance,TOTAL,694,1058753.0
2023,3,state,Dadra & Nagar Haveli & Daman & Diu,Insurance,TOTAL,969,1333103.0
2023,4,state,Dadra & Nagar Haveli & Daman & Diu,Insurance,TOTAL,1207,1973867.0
2024,1,state,Dadra & Nagar Haveli & Daman & Diu,Insurance,TOTAL,1295,1908509.0
