year,quarter,level,region,registered_users,app_opens
2024,2,state,Punjab,10677703,502438995
2024,2,state,Assam,6767874,1728273868
2024,2,state,Jharkhand,10501982,1583300137
2024,2,state,Odisha,18078622,1439371537
2024,2,state,Bihar,27786576,1034146507
2024,2,state,Kerala,13008410,164717612
2024,2,state,Karnataka,45290606,2195010418
2024,2,state,Chandigarh,782791,3351127
2024,2,state,Telangana,32232171,1007869816
2024,2,state,Himachal Pradesh,3172766,291406931
2024,2,state,West Bengal,32540397,704276274
2024,2,state,Gujarat,28439885,2418997443
2024,2,state,Sikkim,304650,45285995
2024,2,state,Nagaland,414876,60494356
2024,2,state,Mizoram,171540,44171046
2024,2,state,Chhattisgarh,8704757,1483224382
2024,2,state,Jammu & Kashmir,2279903,425109975
2024,2,state,Goa,1073516,21359943
2024,2,state,Arunachal Pradesh,500669,132013837
2024,2,state,Delhi,19789096,99756459
2024,2,state,Uttarakhand,5395292,309932840
2024,3,state,Puducherry,629332,2673547
2024,3,state,Tamil Nadu,32965209,1237507205
2024,3,state,Uttar Pradesh,67922000,2512362184
2024,3,state,Madhya Pradesh,31764084,5313772854
2024,3,state,Andhra Pradesh,29145303,1660426436
2024,3,state,Tripura,916336,134585619
2024,3,state,Lakshadweep,11395,28226
2024,3,state,Manipur,596237,125520994
2024,3,state,Maharashtra,69641161,4571320472
2024,3,state,Dadra & Nagar Haveli & Daman & Diu,627815,5429299
2024,3,state,Meghalaya,548502,292472944
2024,3,state,Andaman & Nicobar Islands,172473,19554846
2024,3,state,Haryana,18527288,701589813
2024,3,state,Rajasthan,35583171,5335171033
2024,3,state,Ladakh,194146,68575933
2024,3,state,Punjab,10978782,719085996
2024,3,state,Assam,10098778,855216106
2024,3,state,Jharkhand,11771265,1330121440
2024,3,state,Odisha,17966648,1596145813
2024,3,state,Bihar,31899315,692875087
2024,3,state,Kerala,13271613,127705188
2024,3,state,Karnataka,44548391,2731726058
2024,3,state,Chandigarh,700398,3757821
2024,3,state,Telangana,30776242,1397303246
2024,3,state,Himachal Pradesh,2953068,277032020
2024,3,state,West Bengal,33612828,709864323
2024,3,state,Gujarat,29082108,2873083540
2024,3,state,Sikkim,312311,18246210
2024,3,state,Nagaland,446969,73710120
2024,3,state,Mizoram,224952,109786827
2024,3,state,Chhattisgarh,10290502,1469220234
2024,3,state,Jammu & Kashmir,4161840,376570012
2024,3,state,Goa,1114034,49958844
2024,3,state,Arunachal Pradesh,687168,210856966
2024,3,state,Delhi,18444617,111680825
2024,3,state,Uttarakhand,5423770,414813742
2024,4,state,Puducherry,646158,30724911
2024,4,state,Tamil Nadu,33966610,2229881172
2024,4,state,Uttar Pradesh,70474113,5080900941
2024,4,state,Madhya Pradesh,32876660,2492103990
2024,4,state,Andhra Pradesh,29984431,1866359979
2024,4,state,Tripura,948916,56659293
2024,4,state,Lakshadweep,11769,1797824
2024,4,state,Manipur,616995,32146128
2024,4,state,Maharashtra,71807805,5042420660
2024,4,state,Dadra & Nagar Haveli & Daman & Diu,644550,41947714
2024,4,state,Meghalaya,571272,44407767
2024,4,state,Andaman & Nicobar Islands,178788,18691683
2024,4,state,Haryana,19051114,1381829141
2024,4,state,Rajasthan,36828375,2764744237
2024,4,state,Ladakh,193724,9881580
2024,4,state,Punjab,11308453,774697562
2024,4,state,Assam,10480927,775169459
2024,4,state,Jharkhand,12212421,1018664763
2024,4,state,Odisha,18611196,1034390206
2024,4,state,Bihar,33345285,2527843258
2024,4,state,Kerala,13689387,873737766
2024,4,state,Karnataka,45917653,3091599006
2024,4,state,Chandigarh,721216,37265017
2024,4,state,Telangana,31726856,2014592558
2024,4,state,Himachal Pradesh,3040819,168576863
2024,4,state,West Bengal,34750181,1994940763
2024,4,state,Gujarat,29861641,2406424143
2024,4,state,Sikkim,320748,18490840
2024,4,state,Nagaland,463523,25389015
2024,4,state,Mizoram,234527,12467831
2024,4,state,Chhattisgarh,10651135,869239311
2024,4,state,Jammu & Kashmir,4288583,246569412
2024,4,state,Goa,1143332,78430745
2024,4,state,Arunachal Pradesh,710879,46627582
2024,4,state,Delhi,18900488,952556492
2024,4,state,Uttarakhand,5575922,354208067
