year,quarter,level,region,type,count,amount
2021,1,state,Tripura,TOTAL,360,191531.0
2021,1,state,Lakshadweep,TOTAL,4,5225.0
2021,1,state,Manipur,TOTAL,136,72254.0
2021,1,state,Maharashtra,TOTAL,55792,33137753.0
2021,1,state,Dadra & Nagar Haveli & Daman & Diu,TOTAL,467,285691.0
2021,1,state,Meghalaya,TOTAL,107,128776.0
2021,1,state,Andaman & Nicobar Islands,TOTAL,225,244266.0
2021,1,state,Haryana,TOTAL,11038,7297880.0
2021,1,state,Rajasthan,TOTAL,17800,8074225.0
2021,1,state,Ladakh,TOTAL,32,34530.0
2021,1,state,Punjab,TOTAL,3783,2558380.0
2021,1,state,Assam,TOTAL,3167,2334419.0
2021,1,state,Jharkhand,TOTAL,4879,3274851.0
2021,1,state,Odisha,TOTAL,8236,4383330.0
2021,1,state,Bihar,TOTAL,12554,8796619.0
2021,1,state,Kerala,TOTAL,5731,5040506.0
2021,1,state,Karnataka,TOTAL,37595,30183325.0
2021,1,state,Chandigarh,TOTAL,338,238576.0
2021,1,state,Telangana,TOTAL,28298,14810947.0
2021,1,state,Himachal Pradesh,TOTAL,1064,906492.0
2021,1,state,West Bengal,TOTAL,15488,11172042.0
2021,1,state,Gujarat,TOTAL,12673,7288104.0
2021,1,state,Sikkim,TOTAL,122,111777.0
2021,1,state,Nagaland,TOTAL,79,42973.0
2021,1,state,Mizoram,TOTAL,415,302841.0
2021,1,state,Chhattisgarh,TOTAL,4712,2620468.0
2021,1,state,Jammu & Kashmir,TOTAL,1105,1546288.0
2021,1,state,Goa,TOTAL,879,827384.0
2021,1,state,Arunachal Pradesh,TOTAL,194,131611.0
2021,1,state,Delhi,TOTAL,12822,9655261.0
2021,1,state,Uttarakhand,TOTAL,2607,2719327.0
2021,2,state,Puducherry,TOTAL,526,508277.0
2021,2,state,Tamil Nadu,TOTAL,17682,16444344.0
2021,2,state,Uttar Pradesh,TOTAL,25952,25137571.0
2021,2,state,Madhya Pradesh,TOTAL,14803,9787391.0
2021,2,state,Andhra Pradesh,TOTAL,33205,22730687.0
2021,2,state,Tripura,TOTAL,381,409934.0
2021,2,state,Lakshadweep,TOTAL,5,6962.0
2021,2,state,Manipur,TOTAL,127,81332.0
2021,2,state,Maharashtra,TOTAL,70381,46763103.0
2021,2,state,Dadra & Nagar Haveli & Daman & Diu,TOTAL,368,275638.0
2021,2,state,Meghalaya,TOTAL,139,148434.0
2021,2,state,Andaman & Nicobar Islands,TOTAL,137,181504.0
2021,2,state,Haryana,TOTAL,12516,11272453.0
2021,2,state,Rajasthan,TOTAL,18281,14357445.0
2021,2,state,Ladakh,TOTAL,46,86251.0
2021,2,state,Punjab,TOTAL,4047,3768919.0
2021,2,state,Assam,TOTAL,3265,3008122.0
2021,2,state,Jharkhand,TOTAL,5180,5084230.0
2021,2,state,Odisha,TOTAL,7942,5832924.0
2021,2,state,Bihar,TOTAL,14301,13301581.0
2021,2,state,Kerala,TOTAL,9530,9676588.0
2021,2,state,Karnataka,TOTAL,40969,39501006.0
2021,2,state,Chandigarh,TOTAL,378,310943.0
2021,2,state,Telangana,TOTAL,28870,20935651.0
2021,2,state,Himachal Pradesh,TOTAL,1210,1402338.0
2021,2,state,West Bengal,TOTAL,15200,12396029.0
2021,2,state,Gujarat,TOTAL,14676,10263998.0
2021,2,state,Sikkim,TOTAL,93,122064.0
2021,2,state,Nagaland,TOTAL,85,139479.0
2021,2,state,Mizoram,TOTAL,187,124805.0
2021,2,state,Chhattisgarh,TOTAL,5055,3813417.0
2021,2,state,Jammu & Kashmir,TOTAL,1197,1832089.0
2021,2,state,Goa,TOTAL,1016,1028339.0
2021,2,state,Arunachal Pradesh,TOTAL,204,224928.0
2021,2,state,Delhi,TOTAL,13292,10840929.0
2021,2,state,Uttarakhand,TOTAL,2742,3265717.0
2021,3,state,Puducherry,TOTAL,561,556442.0
2021,3,state,Tamil Nadu,TOTAL,23107,23402918.0
2021,3,state,Uttar Pradesh,TOTAL,32799,32641118.0
2021,3,state,Madhya Pradesh,TOTAL,11990,7806258.0
2021,3,state,Andhra Pradesh,TOTAL,23075,19914338.0
2021,3,state,Tripura,TOTAL,494,649961.0
2021,3,state,Lakshadweep,TOTAL,19,16034.0
2021,3,state,Manipur,TOTAL,111,133016.0
2021,3,state,Maharashtra,TOTAL,52268,41313307.0
2021,3,state,Dadra & Nagar Haveli & Daman & Diu,TOTAL,360,273596.0
2021,3,state,Meghalaya,TOTAL,139,214554.0
2021,3,state,Andaman & Nicobar Islands,TOTAL,230,305235.0
2021,3,state,Haryana,TOTAL,14163,13215898.0
2021,3,state,Rajasthan,TOTAL,16643,12793862.0
2021,3,state,Ladakh,TOTAL,192,174052.0
2021,3,state,Punjab,TOTAL,4887,5271559.0
2021,3,state,Assam,TOTAL,4495,6010865.0
2021,3,state,Jharkhand,TOTAL,6794,7046048.0
2021,3,state,Odisha,TOTAL,7967,6008686.0
2021,3,state,Bihar,TOTAL,18030,18234941.0
2021,3,state,Kerala,TOTAL,10926,13255646.0
2021,3,state,Karnataka,TOTAL,47468,48078366.0
2021,3,state,Chandigarh,TOTAL,494,469634.0
2021,3,state,Telangana,TOTAL,27080,20925217.0
2021,3,state,Himachal Pradesh,TOTAL,1759,2444545.0
2021,3,state,West Bengal,TOTAL,24839,21424337.0
2021,3,state,Gujarat,TOTAL,15348,12341903.0
2021,3,state,Sikkim,TOTAL,106,140552.0
2021,3,state,Nagaland,TOTAL,91,123643.0
2021,3,state,Mizoram,TOTAL,81,83641.0
2021,3,state,Chhattisgarh,TOTAL,4676,3568837.0
2021,3,state,Jammu & Kashmir,TOTAL,1452,2139133.0
2021,3,state,Goa,TOTAL,1214,1385986.0
2021,3,state,Arunachal Pradesh,TOTAL,212,371051.0
2021,3,state,Delhi,TOTAL,16679,15007079.0
2021,3,state,Uttarakhand,TOTAL,4111,4646571.0
2021,4,state,Puducherry,TOTAL,786,946607.0
2021,4,state,Tamil Nadu,TOTAL,33037,42184290.0
2021,4,state,Uttar Pradesh,TOTAL,44132,59654951.0
2021,4,state,Madhya Pradesh,TOTAL,15069,17524432.0
2021,4,state,Andhra Pradesh,TOTAL,25423,31610335.0
2021,4,state,Tripura,TOTAL,702,1022508.0
2021,4,state,Lakshadweep,TOTAL,11,17096.0
2021,4,state,Manipur,TOTAL,145,271789.0
2021,4,state,Maharashtra,TOTAL,82423,93262227.0
2021,4,state,Dadra & Nagar Haveli & Daman & Diu,TOTAL,421,425384.0
2021,4,state,Meghalaya,TOTAL,263,451612.0
2021,4,state,Andaman & Nicobar Islands,TOTAL,757,1056380.0
2021,4,state,Haryana,TOTAL,19489,25885838.0
2021,4,state,Rajasthan,TOTAL,19375,24455262.0
2021,4,state,Ladakh,TOTAL,76,195966.0
2021,4,state,Punjab,TOTAL,6638,9912828.0
2021,4,state,Assam,TOTAL,8622,13962068.0
2021,4,state,Jharkhand,TOTAL,8465,11190423.0
2021,4,state,Odisha,TOTAL,9093,10941626.0
2021,4,state,Bihar,TOTAL,22456,27313813.0
2021,4,state,Kerala,TOTAL,19199,31260319.0
2021,4,state,Karnataka,TOTAL,74436,90723288.0
2021,4,state,Chandigarh,TOTAL,710,835813.0
2021,4,state,Telangana,TOTAL,34848,38845492.0
2021,4,state,Himachal Pradesh,TOTAL,2474,4667661.0
2021,4,state,West Bengal,TOTAL,26320,31282871.0
2021,4,state,Gujarat,TOTAL,19142,23282921.0
2021,4,state,Sikkim,TOTAL,195,503532.0
2021,4,state,Nagaland,TOTAL,183,341424.0
2021,4,state,Mizoram,TOTAL,100,175847.0
2021,4,state,Chhattisgarh,TOTAL,6029,8229039.0
2021,4,state,Jammu & Kashmir,TOTAL,3113,5223317.0
2021,4,state,Goa,TOTAL,2087,2737316.0
2021,4,state,Arunachal Pradesh,TOTAL,320,598459.0
2021,4,state,Delhi,TOTAL,34251,36578331.0
2021,4,state,Uttarakhand,TOTAL,5529,7849020.0
2022,1,state,Puducherry,TOTAL,1199,1663404.0
2022,1,state,Tamil Nadu,TOTAL,47621,64969045.0
