year,quarter,entity_type,entity_name,rank,registered_users
2021,3,district,Mumbai Suburban,5,4444495
2021,3,district,Hyderabad,6,3839513
2021,3,district,Ahmadabad,7,3445024
2021,3,district,Rangareddy,8,3310906
2021,3,district,North Twenty Four Parganas,9,2852030
2021,3,district,Surat,10,2830392
2021,4,state,Maharashtra,1,45482506
2021,4,state,Uttar Pradesh,2,36617655
2021,4,state,Karnataka,3,29459646
2021,4,state,Andhra Pradesh,4,22489029
2021,4,state,Rajasthan,5,21977202
2021,4,state,Telangana,6,20917649
2021,4,state,West Bengal,7,20644527
2021,4,state,Tamil Nadu,8,20433142
2021,4,state,Madhya Pradesh,9,18456243
2021,4,state,Gujarat,10,18139201
2021,4,district,Bengaluru Urban,1,12038775
2021,4,district,Pune,2,7880431
2021,4,district,Thane,3,4906492
2021,4,district,Jaipur,4,4841883
2021,4,district,Mumbai Suburban,5,4740546
2021,4,district,Hyderabad,6,4081185
2021,4,district,Ahmadabad,7,3679243
2021,4,district,Rangareddy,8,3523496
2021,4,district,North Twenty Four Parganas,9,3043008
2021,4,district,Surat,10,3026960
2022,1,state,Maharashtra,1,48227630
2022,1,state,Uttar Pradesh,2,38999692
2022,1,state,Karnataka,3,31200349
2022,1,state,Andhra Pradesh,4,23857951
2022,1,state,Rajasthan,5,23398857
2022,1,state,Telangana,6,22150612
2022,1,state,West Bengal,7,21919787
2022,1,state,Tamil Nadu,8,21667020
2022,1,state,Madhya Pradesh,9,19656147
2022,1,state,Gujarat,10,19265314
2022,1,district,Bengaluru Urban,1,12707664
2022,1,district,Pune,2,8331582
2022,1,district,Thane,3,5196050
2022,1,district,Jaipur,4,5133527
2022,1,district,Mumbai Suburban,5,5017556
2022,1,district,Hyderabad,6,4306136
2022,1,district,Ahmadabad,7,3897869
2022,1,district,Rangareddy,8,3722676
2022,1,district,North Twenty Four Parganas,9,3224459
2022,1,district,Surat,10,3210535
2022,2,state,Maharashtra,1,50802786
2022,2,state,Uttar Pradesh,2,41247289
2022,2,state,Karnataka,3,32831447
2022,2,state,Andhra Pradesh,4,25157264
2022,2,state,Rajasthan,5,24716181
2022,2,state,Telangana,6,23314363
2022,2,state,West Bengal,7,23124388
2022,2,state,Tamil Nadu,8,22829720
2022,2,state,Madhya Pradesh,9,20766417
2022,2,state,Gujarat,10,20321596
2022,2,district,Bengaluru Urban,1,13342916
2022,2,district,Pune,2,8757249
2022,2,district,Thane,3,5471749
2022,2,district,Jaipur,4,5409763
2022,2,district,Mumbai Suburban,5,5281053
2022,2,district,Hyderabad,6,4519625
2022,2,district,Ahmadabad,7,4105172
2022,2,district,Rangareddy,8,3911372
2022,2,district,North Twenty Four Parganas,9,3397791
2022,2,district,Surat,10,3385398
2022,3,state,Maharashtra,1,53432602
2022,3,state,Uttar Pradesh,2,43537920
2022,3,state,Karnataka,3,34493994
2022,3,state,Andhra Pradesh,4,26496330
2022,3,state,Rajasthan,5,26042948
2022,3,state,Telangana,6,24506111
2022,3,state,West Bengal,7,24372048
